file,ID,hue,distance,r,g,b
f5.jpg,0,35.53308195,3.306055051,37.44632768,30.7259887,20.96610169
f10.jpg,0,56.36533086,8.836288814,181.3333333,177.7222222,121.7222222
f15.jpg,0,34.86537257,4.506939094,98.08,84.7,66.14
f20.jpg,0,36.26676077,3.337497399,68.35507246,60.23188406,47.81884058
f25.jpg,0,37.88082901,3.735713527,58.18041237,50.84536082,38.28350515
f30.jpg,0,35.39613883,4.105263158,65.59006211,53.51863354,36.15217391
f35.jpg,0,33.52135717,4.635472285,67.26274945,57.29379157,44.67331855
f40.jpg,0,36.32874016,6.184538844,99.15942029,81.73188406,54.98550725
f45.jpg,0,29.03225806,5.006246099,99.46,87.62,76.52
f50.jpg,0,40.15600624,4.506939094,91.9,79.18,53.44
f55.jpg,0,40.26104418,3.8,90.1,79.17777778,56.9
f60.jpg,0,37.79080252,4.8,128.5222222,101.1555556,54.58888889
f65.jpg,0,32.4161897,4.428571429,76.15168539,63.51685393,48.66853933
f70.jpg,0,34.67341772,3.392984774,49.9592721,39.12305026,24.28769497
f75.jpg,0,36.7126757,5.201716182,48.39819005,41.4638009,30.53167421
f80.jpg,0,31.1597243,4.791574237,55.40449438,46.39325843,36.65730337
f85.jpg,0,30.13245033,5.458563764,95,84.26190476,73.42857143
f90.jpg,0,35.76395242,5.006246099,105.86,88.2,62.14
f95.jpg,0,29.94354839,3.597050946,136.3764045,94.5,52.78089888
f100.jpg,0,36.05564325,3.907124902,90.74770642,72.19266055,44.25229358
f105.jpg,0,35.62895085,3.339737438,61.84129693,47.69624573,27.01706485
f110.jpg,0,36.03898405,5.241833011,58.03753351,48.97453083,35.34316354
f115.jpg,0,31.32925184,3.23443016,127.9637681,94.5942029,58.13043478
f120.jpg,0,34.43158611,4.580348441,112.4047619,97.5,77.42857143
f125.jpg,0,33.51828499,6.222222222,100.8513514,81.93243243,57.98648649
f132.jpg,0,39.92267135,6.013318551,87.21111111,76.63333333,55.6
f137.jpg,0,38.29411765,6.603029608,64.03954802,55.35310734,40.02824859
f143.jpg,0,35.11371741,4.257346591,100.8577982,76.84862385,42.97247706
f149.jpg,0,34.74093824,3.244312686,40.36863271,32.53753351,21.76675603
f155.jpg,0,40.08163265,6,129.5,112.0714286,77
f160.jpg,0,36.11721612,4.404543109,63.55555556,56.31111111,45.35555556
f165.jpg,0,37.82907173,2.96227725,87.82945736,73.43410853,48.87209302
f170.jpg,0,34.87018201,4.322961948,87.23646209,64.64079422,33.28700361
f175.jpg,0,39.10309278,3.859787453,79.11235955,67.7247191,46.41573034
f180.jpg,0,36.73013143,3.705882353,46.43516699,37.13064833,22.44400786
c2.jpg,1,202.9850746,7.5,142.2222222,156,164.5555556
c7.jpg,1,192.1428571,4.179978735,61.86956522,72.06521739,74.65217391
c12.jpg,1,198.5723951,4.022099616,46.67080745,53.00931677,55.85093168
c17.jpg,1,183.7553343,5.25594901,113.4,126.58,127.46
c22.jpg,1,179.0841914,3.252402958,72.42201835,110.2889908,109.7110092
c27.jpg,1,198.6875456,4.336537277,54.40814558,63.40034662,67.46793761
c34.jpg,1,201.4482876,4.004532579,43.97150259,53.74093264,59.1761658
c40.jpg,1,183.6184211,5.024937811,90.38,107.52,108.62
c45.jpg,1,176.8,6.013318551,99.11111111,124.1111111,122.7777778
c50.jpg,1,194.5263158,3.259601203,50.66055046,73.44954128,80.7293578
c55.jpg,1,163.950378,3.542654372,36.72382671,46.03610108,43.54512635
c60.jpg,1,172.7642276,4.007804885,96.7,126.22,122.66
c65.jpg,1,207.6999085,3.459326835,83.24561404,134.8596491,179.122807
c70.jpg,1,174.4652087,4.333333333,77.99275362,96.2173913,94.53623188
c75.jpg,1,181.6312997,4.961389384,75.51449275,86.14492754,86.44202899
c80.jpg,1,167.1405836,4.687782913,59.95172414,72.95172414,70.16551724
c85.jpg,1,206.2549277,4.865538962,103.2380952,113.4285714,121.3571429
c90.jpg,1,207.5042445,4.245549594,77.01351351,85.63513514,92.93243243
c95.jpg,1,185.7037583,4.181818182,70.64035088,81.4122807,82.54385965
c100.jpg,1,185.8714826,4.678556283,60.20289855,75.76811594,77.45652174
c105.jpg,1,182.933966,3.316804043,40.80831099,50.48123324,50.97855228
c110.jpg,1,179.7807552,4.285714286,53.5,62.7247191,62.69101124
c115.jpg,1,190.2992126,4.671954676,48.34482759,55.6,57.10344828
c120.jpg,1,189.4359465,2.923076923,66.5,79.27536232,81.65942029
c125.jpg,1,166.2911221,3.846153846,74.35507246,90.43478261,86.76086957
c130.jpg,1,162.8236112,3.262624525,45.65692308,63.35384615,58.28769231
c135.jpg,1,174.6457766,3.259601203,72.05504587,105.7247706,102.7201835
c140.jpg,1,164.7990473,3.557291243,66.28275862,89.44827586,83.57931034
c145.jpg,1,207.5545063,3.206243908,65.08888889,108.3555556,145.1
c150.jpg,1,172.7616279,3.580495021,61.2515528,91.16459627,87.55590062
c155.jpg,1,166.0059239,3.379310345,40.50670241,58.15683646,54.04021448
c160.jpg,1,165.3145936,3.518174387,46.27363897,65.9469914,61.13180516
c165.jpg,1,202.7748691,3.777777778,74.52702703,96.94594595,110.6621622
c170.jpg,1,183.3784747,3.670452591,59.33333333,68.92753623,69.5
c175.jpg,1,178.3619818,4.57366017,65.19662921,81.86516854,81.41011236
s1.jpg,2,81.50470219,7,95.5952381,103.7619048,80.97619048
